CGPA:,Question.1,Question.2,Question.3,Question.4,Question.5,Overall Remark on Paper (Please be as elaborate as possible)
aboveAvg,medium1,easy2,hard3,hard4,medium5,tough
aboveAvg,easy1,medium2,hard3,medium4,easy5,medium
aboveAvg,medium1,medium2,medium3,hard4,hard5,tough
aboveAvg,easy1,hard2,hard3,easy4,medium5,tough
avg,hard1,hard2,hard3,hard4,hard5,tough
avg,easy1,easy2,hard3,hard4,easy5,medium
avg,easy1,easy2,easy3,easy4,easy5,easy
avg,medium1,easy2,easy3,medium4,medium5,medium
avg,easy1,medium2,hard3,hard4,hard5,tough
aboveAvg,easy1,easy2,medium3,easy4,hard5,easy
avg,medium1,medium2,medium3,hard4,hard5,medium
avg,medium1,medium2,easy3,hard4,easy5,easy
aboveAvg,medium1,easy2,easy3,easy4,easy5,easy
aboveAvg,easy1,easy2,hard3,easy4,medium5,tough
avg,hard1,easy2,easy3,easy4,easy5,medium
avg,medium1,medium2,medium3,medium4,medium5,tough
avg,medium1,hard2,hard3,medium4,easy5,tough
belowavg,hard1,hard2,medium3,easy4,medium5,tough
avg,medium1,medium2,easy3,medium4,easy5,medium
aboveAvg,easy1,easy2,easy3,easy4,easy5,easy
avg,easy1,easy2,medium3,hard4,hard5,medium
avg,medium1,medium2,medium3,medium4,medium5,medium
belowavg,hard1,hard2,hard3,hard4,hard5,tough
aboveAvg,medium1,medium2,easy3,medium4,easy5,easy
avg,hard1,hard2,hard3,hard4,hard5,tough
aboveAvg,easy1,easy2,easy3,easy4,easy5,easy
avg,medium1,hard2,easy3,hard4,medium5,tough
avg,medium1,medium2,medium3,medium4,medium5,medium
avg,medium1,medium2,hard3,easy4,hard5,medium
avg,easy1,medium2,medium3,easy4,medium5,medium
avg,medium1,medium2,medium3,medium4,medium5,medium
aboveAvg,easy1,easy2,easy3,medium4,easy5,easy
avg,easy1,easy2,medium3,medium4,medium5,medium
avg,medium1,hard2,easy3,medium4,hard5,medium
avg,easy1,easy2,easy3,easy4,medium5,tough
avg,medium1,hard2,easy3,medium4,hard5,tough
avg,medium1,medium2,medium3,medium4,medium5,medium
avg,medium1,hard2,medium3,medium4,hard5,medium
belowavg,hard1,hard2,hard3,hard4,hard5,tough
belowavg,easy1,medium2,medium3,medium4,medium5,medium
avg,easy1,medium2,medium3,medium4,hard5,tough
belowavg,medium1,medium2,medium3,medium4,medium5,medium
avg,medium1,medium2,medium3,medium4,medium5,medium
avg,easy1,hard2,medium3,hard4,hard5,tough
avg,hard1,medium2,hard3,medium4,medium5,tough
belowavg,easy1,medium2,medium3,medium4,easy5,medium
avg,medium1,hard2,easy3,medium4,medium5,tough
belowavg,hard1,hard2,hard3,hard4,medium5,tough
belowavg,medium1,medium2,medium3,medium4,medium5,medium
aboveAvg,hard1,easy2,easy3,easy4,medium5,medium
avg,easy1,easy2,easy3,easy4,easy5,easy
aboveAvg,easy1,easy2,easy3,easy4,easy5,easy
avg,easy1,easy2,medium3,hard4,hard5,medium
belowavg,medium1,medium2,medium3,medium4,medium5,medium
aboveAvg,easy1,medium2,medium3,easy4,medium5,easy
belowavg,hard1,hard2,hard3,hard4,hard5,tough
avg,medium1,hard2,hard3,medium4,hard5,tough
aboveAvg,easy1,easy2,easy3,easy4,medium5,easy
